EEG Fp1-Ref,EEG Fp2-Ref,EEG F3-Ref,EEG F4-Ref,EEG F7-Ref,EEG F8-Ref,EEG Fz-Ref,EEG C3-Ref,EEG C4-Ref,EEG Cz-Ref,EEG T3-Ref,EEG T5-Ref,EEG T4-Ref,EEG T6-Ref,EEG P3-Ref,EEG P4-Ref,EEG Pz-Ref,EEG O1-Ref,EEG O2-Ref,ECG EKG,Resp Effort,time
-7.190378856776729e-06,3.1829115878779533e-06,1.2886957487716204e-05,2.3762181340983212e-05,3.41354717856379e-05,2.3929492477187317e-05,3.5139338602862535e-05,-5.851889767143867e-06,3.6310516556291295e-05,5.190645222327246e-06,5.772634199041709e-05,3.350222724082061e-06,-1.5890557939390332e-05,3.948942814416934e-05,8.405556810204443e-07,4.032598382518988e-05,-6.608389880062266e-05,1.713111362040132e-07,1.9746714072084625e-05,1.539662453077782e-05,-0.0003625592321543016,1.0
3.6848449964902762e-06,-1.4050135441145147e-05,1.3388890896328527e-05,2.2089069978942134e-05,3.882018359935291e-05,2.928344883571877e-05,3.5139338602862535e-05,-5.851889767143867e-06,3.6310516556291295e-05,5.525267494735462e-06,3.547396087527075e-05,-4.680711813715112e-06,-4.8850851771599564e-05,0.00010139454853968922,8.405556810204443e-07,3.965673928037345e-05,-6.69204544816432e-05,3.5175338602861686e-06,2.225638111514624e-05,1.3556202032532636e-05,-0.00036490158806115917,1.00390625
1.2552335215307988e-05,-2.258300338755464e-05,1.4727379985961389e-05,1.857553611865587e-05,4.383951768547614e-05,4.015867268898577e-05,3.363353837702557e-05,-7.190378856776729e-06,3.697976110110772e-05,5.3579563585313544e-06,5.588591949217191e-05,-8.026934537797268e-06,-3.362553837702576e-05,8.282301242103325e-05,3.999999999905412e-09,4.032598382518988e-05,-6.89281881160925e-05,3.3862227240812094e-07,2.2925625659962673e-05,8.536867946409403e-06,-0.0003674112551042208,1.0078125
1.4727379985961389e-05,-2.910813769951485e-05,1.2552335215307988e-05,1.3388890896328527e-05,2.158713657032981e-05,3.162580474257628e-05,3.179311587878038e-05,-7.85962340159316e-06,3.681244996490362e-05,5.190645222327246e-06,7.679981151768537e-05,2.5435292703024287e-05,2.0583269753105164e-05,7.663250038148127e-05,8.405556810204443e-07,4.383951768547614e-05,-6.87608769798884e-05,1.0078668172245522e-06,2.9450759971922874e-05,3.3862227240812094e-07,-0.0003697536110110783,1.01171875
-1.0201979308450669e-05,-3.513133860286273e-05,4.688711813714923e-06,2.4766048158207856e-05,4.521400677510815e-06,4.149716177861863e-05,2.9952693380535196e-05,-8.361556810205484e-06,3.41354717856379e-05,5.190645222327246e-06,4.9360785180211697e-05,1.5098002258368753e-06,5.6555164036988335e-05,8.951545786919757e-05,-1.83642249824528e-06,4.5010695638904896e-05,-6.842625470748018e-05,1.6771113620409832e-06,3.112387133396395e-05,-5.015334086123328e-06,-0.0003719286557817317,1.015625
-1.5018002258370645e-06,-3.4462094058046294e-05,6.863756584368324e-06,1.2217712942899773e-05,1.5062002258369606e-05,3.4804716330454325e-05,2.844689315469823e-05,-9.532734763634238e-06,3.580858314767897e-05,4.856022949919031e-06,3.982405041657755e-05,-3.34222272408225e-06,-2.3921492477187506e-05,5.555129721976369e-05,-2.5056670430617114e-06,4.6349184728537764e-05,-6.775701016266374e-05,4.521400677510815e-06,3.296429383220914e-05,-2.3383559068576033e-06,-0.00037393638941618095,1.01953125
6.732445448163366e-07,-3.5465960875270945e-05,9.038801355021725e-06,7.700312265388862e-06,3.246236042359681e-05,1.4225446577349067e-05,2.5937226111636612e-05,-1.0369290444654776e-05,3.64778276924954e-05,5.3579563585313544e-06,5.120120767845689e-05,-9.700045899838345e-06,2.011733634449199e-06,4.3504895413067926e-05,-2.8402893154699267e-06,4.2501028595843275e-05,-6.859356584368428e-05,2.011733634449199e-06,3.346622724082146e-05,2.5136670430615223e-06,-0.00037544218964201794,1.0234375
-5.684578630939759e-06,-3.66371388286997e-05,8.405556810204443e-07,8.202245674001186e-06,4.0660606097598095e-05,3.7314383373515946e-05,2.4933359294411965e-05,-1.2209712942899962e-05,3.346622724082146e-05,5.023334086123139e-06,6.174180925931568e-05,-1.4719379985961578e-05,6.863756584368324e-06,4.116253950621042e-05,-3.844156132694573e-06,3.530664973906665e-05,-7.177247743156233e-05,-2.3383559068576033e-06,3.145849360637217e-05,-1.6331113620420237e-07,-0.0003767806787316508,1.02734375
-1.622518021179855e-05,-5.487405267494745e-05,-4.0114672688986815e-06,1.1751779534286598e-06,6.361823175756001e-06,3.798362791833237e-05,2.2591003387554452e-05,-1.388282430494104e-05,3.179311587878038e-05,4.856022949919031e-06,1.0377290444654586e-05,1.606586907559425e-05,-4.784698495437491e-05,3.580858314767897e-05,-2.3383559068576033e-06,3.21277381511886e-05,-7.428214447462395e-05,-2.8402893154699267e-06,3.162580474257628e-05,-1.154046839808353e-05,-0.00037761723441267136,1.03125
-1.689442475661498e-05,-5.353556358531458e-05,-4.178778405102789e-06,1.3054268623920312e-05,2.1790447706533066e-06,2.6271848384044826e-05,2.125251429792159e-05,-1.4217446577349256e-05,3.279698269600503e-05,4.856022949919031e-06,3.681244996490362e-05,8.871490218817617e-06,-2.7267715201269662e-05,5.454743040253904e-05,-3.0076004516740344e-06,2.9450759971922874e-05,-7.645718924527734e-05,-6.019200903347974e-06,2.8614204290902335e-05,-2.5594603839228584e-05,-0.0003781191678212837,1.03515625
