EEG Fp1-Ref,EEG Fp2-Ref,EEG F3-Ref,EEG F4-Ref,EEG F7-Ref,EEG F8-Ref,EEG Fz-Ref,EEG C3-Ref,EEG C4-Ref,EEG Cz-Ref,EEG T3-Ref,EEG T5-Ref,EEG T4-Ref,EEG T6-Ref,EEG P3-Ref,EEG P4-Ref,EEG Pz-Ref,EEG O1-Ref,EEG O2-Ref,ECG EKG,Resp Effort,time
2.8781515427106443e-05,2.35948702047791e-05,3.3800849513229674e-05,3.948942814416934e-05,3.0287315652943416e-05,2.9450759971922874e-05,2.6271848384044826e-05,3.045462678914752e-05,1.3054268623920312e-05,1.2050401806695665e-05,2.7443026337473582e-05,3.112387133396395e-05,2.4598737022003748e-05,2.011733634449199e-06,3.162580474257628e-05,6.1945120395518935e-06,2.3092936796166778e-05,1.2719646351512097e-05,-4.5134006775110045e-06,-0.00014037004327524652,5.059334086122288e-07,1029.0
2.8948826563310548e-05,2.3929492477187317e-05,2.827958201849412e-05,2.7108404065065368e-05,2.978538224433109e-05,2.3929492477187317e-05,2.6773781792657148e-05,3.0789249061555735e-05,1.2050401806695665e-05,1.1715779534287451e-05,2.827958201849412e-05,3.262967155980092e-05,2.35948702047791e-05,-1.5018002258370645e-06,3.129118247016806e-05,5.69257863093957e-06,2.3092936796166778e-05,1.3723513168736743e-05,-5.182645222327435e-06,-9.9211503769036e-05,6.732445448163366e-07,1029.00390625
2.978538224433109e-05,2.4096803613391425e-05,2.911613769951466e-05,2.5937226111636612e-05,3.0789249061555735e-05,2.3762181340983212e-05,2.610453724784072e-05,3.0789249061555735e-05,9.708045899838156e-06,1.2385024079103882e-05,2.9450759971922874e-05,3.396816064943378e-05,2.2758314523758564e-05,-3.844156132694573e-06,3.246236042359681e-05,4.354089541306708e-06,2.2925625659962673e-05,1.5229313394573712e-05,-6.688445448164406e-06,-5.5710608355967985e-05,1.0078668172245522e-06,1029.0078125
3.095656019775984e-05,2.2758314523758564e-05,2.2423692251350347e-05,7.19837885677654e-06,3.145849360637217e-05,1.7237047029023004e-05,2.6439159520248934e-05,3.112387133396395e-05,7.700312265388862e-06,1.1883090670491558e-05,2.9618071108126982e-05,3.564127201147486e-05,2.075058088930927e-05,-8.528867946409592e-06,3.0287315652943416e-05,1.1751779534286598e-06,2.2089069978942134e-05,1.690242475661479e-05,-8.863490218817806e-06,-7.060129947813359e-05,1.1751779534286598e-06,1029.01171875
2.9952693380535196e-05,2.35948702047791e-05,3.296429383220914e-05,3.64778276924954e-05,3.145849360637217e-05,2.7777648609881795e-05,2.526798156682018e-05,3.112387133396395e-05,6.529134311960109e-06,1.1213846125675127e-05,2.9618071108126982e-05,3.6310516556291295e-05,2.0583269753105164e-05,-9.030801355021914e-06,3.3298916104617355e-05,-8.325556810206334e-07,1.991402520828873e-05,1.8910158391064086e-05,-1.1205846125675316e-05,-0.00012598128556169324,1.5098002258368753e-06,1029.015625
3.246236042359681e-05,2.5435292703024287e-05,3.898749473555702e-05,4.099522837000631e-05,3.396816064943378e-05,2.9952693380535196e-05,2.7275715201269473e-05,3.313160496841325e-05,6.529134311960109e-06,1.2552335215307988e-05,3.179311587878038e-05,3.982405041657755e-05,2.1754447706533917e-05,-9.532734763634238e-06,3.8150939054536475e-05,-4.979334086124179e-07,2.2423692251350347e-05,2.3762181340983212e-05,-1.0536601580858886e-05,-0.00014555668849757387,1.6771113620409832e-06,1029.01953125
3.41354717856379e-05,2.57699149754325e-05,3.346622724082146e-05,2.6439159520248934e-05,3.530664973906665e-05,2.610453724784072e-05,2.8112270882290012e-05,3.4302782921842e-05,6.6964454481642165e-06,1.2552335215307988e-05,3.313160496841325e-05,4.1664472914822746e-05,2.14198254341257e-05,-1.103853498947121e-05,3.7649005645924156e-05,5.059334086122288e-07,2.3762181340983212e-05,2.57699149754325e-05,-9.030801355021914e-06,-9.954612604144422e-05,1.6771113620409832e-06,1029.0234375
3.564127201147486e-05,2.8112270882290012e-05,3.313160496841325e-05,2.443142588579964e-05,3.6645138828699505e-05,2.526798156682018e-05,2.827958201849412e-05,3.447009405804611e-05,8.202245674001186e-06,1.1883090670491558e-05,3.463740519425021e-05,4.3504895413067926e-05,2.3092936796166778e-05,-9.700045899838345e-06,3.798362791833237e-05,1.5098002258368753e-06,2.4598737022003748e-05,2.8112270882290012e-05,-8.361556810205484e-06,-4.483538450270098e-05,1.5098002258368753e-06,1029.02734375
3.6310516556291295e-05,2.827958201849412e-05,2.7610337473677687e-05,1.3054268623920312e-05,3.8150939054536475e-05,2.0583269753105164e-05,2.978538224433109e-05,3.3298916104617355e-05,8.202245674001186e-06,1.2217712942899773e-05,3.597589428388308e-05,4.4843384502700794e-05,2.1921758842738025e-05,-1.0703912717062993e-05,3.697976110110772e-05,1.8444224982450908e-06,2.5602603839228395e-05,2.8614204290902335e-05,-7.85962340159316e-06,-4.918547404400778e-05,1.5098002258368753e-06,1029.03125
3.714707223731183e-05,3.045462678914752e-05,3.64778276924954e-05,3.7314383373515946e-05,3.982405041657755e-05,2.9450759971922874e-05,2.928344883571877e-05,3.346622724082146e-05,1.0042668172246373e-05,1.1883090670491558e-05,3.64778276924954e-05,4.601456245612955e-05,2.4096803613391425e-05,-8.528867946409592e-06,3.9154805871761126e-05,2.5136670430615223e-06,2.4598737022003748e-05,3.045462678914752e-05,-7.692312265389051e-06,-0.0001010519262672812,1.6771113620409832e-06,1029.03515625
