EEG Fp1-Ref,EEG Fp2-Ref,EEG F7-Ref,EEG F3-Ref,EEG Fz-Ref,EEG F4-Ref,EEG F8-Ref,EEG T3-Ref,EEG C3-Ref,EEG Cz-Ref,EEG C4-Ref,EEG T4-Ref,EEG T5-Ref,EEG P3-Ref,EEG Pz-Ref,EEG P4-Ref,EEG T6-Ref,EEG O1-Ref,EEG O2-Ref,ECG EKG,Resp Effort,time
-8.541415189062362e-06,-9.45694181646188e-06,-7.168125247963085e-06,7.480300790429198e-06,3.499999999803549e-09,1.37678994109908e-06,-3.2008431958985084e-06,-1.2966460554826697e-05,5.649247535630163e-06,5.496659764396909e-06,1.6819654835655861e-06,-8.083651875362602e-06,-6.862949705496579e-06,1.37678994109908e-06,1.2242021698658271e-06,-9.120266273997141e-07,-8.99917850276212e-06,-9.762117358928386e-06,-1.3271636097293203e-05,-1.0646143986329673e-06,-7.594388561664611e-07,419.0
-1.0677643986327902e-05,-1.0219880672628144e-05,-1.0830231757561157e-05,5.954423078096669e-06,3.0867554246630944e-07,2.292316568498598e-06,-2.743079882198749e-06,-1.769668146305754e-05,5.1914842219304035e-06,5.649247535630163e-06,1.987141026032092e-06,-6.862949705496579e-06,-9.762117358928386e-06,3.0867554246630944e-07,1.2242021698658271e-06,-1.980141026032485e-06,-6.862949705496579e-06,-1.0982819528794408e-05,-1.2508697241126939e-05,4.612633136995624e-07,7.664388561660683e-07,419.00390625
-1.1287995071260915e-05,-1.052505621509465e-05,-1.2813872783593443e-05,5.1914842219304035e-06,-4.542633136999553e-07,2.292316568498598e-06,-2.4379043397322436e-06,-1.784926923429079e-05,4.123369823297633e-06,5.1914842219304035e-06,1.987141026032092e-06,-6.710361934263327e-06,-7.473300790429591e-06,-6.068510849332083e-07,1.560877712330565e-07,-5.031896450697544e-06,-6.40518639179682e-06,-1.0830231757561157e-05,-1.2813872783593443e-05,3.499999999803549e-09,2.2433902371287986e-05,419.0078125
-1.2356109469893686e-05,-1.0372468443861397e-05,-1.418716272469272e-05,4.886308679463898e-06,3.499999999803549e-09,3.5130187383646215e-06,-1.3697899410994728e-06,-1.830703254799055e-05,4.581133136997392e-06,5.954423078096669e-06,2.7500798821983563e-06,-2.8956676534320024e-06,-8.083651875362602e-06,-3.0167554246670236e-07,1.0716143986325743e-06,-9.120266273997141e-07,-6.40518639179682e-06,-7.778476332896096e-06,-8.846590731528868e-06,-5.184484221930796e-06,4.12021982329781e-05,419.01171875
-1.418716272469272e-05,-1.0982819528794408e-05,-1.5865628208258503e-05,4.275957594530887e-06,3.0867554246630944e-07,3.0552554246648627e-06,-9.120266273997141e-07,-2.1206200201422358e-05,4.123369823297633e-06,6.259598620563174e-06,1.987141026032092e-06,-3.0482554246652556e-06,-8.083651875362602e-06,-9.120266273997141e-07,1.560877712330565e-07,3.0867554246630944e-07,-2.5904921109654964e-06,-8.083651875362602e-06,-5.184484221930796e-06,-9.91470513016164e-06,1.4194162724692328e-05,419.015625
-1.0830231757561157e-05,-7.778476332896096e-06,-1.4492338267159225e-05,5.954423078096669e-06,4.612633136995624e-07,3.0552554246648627e-06,-1.0646143986329673e-06,-2.0138085802789586e-05,3.0552554246648627e-06,4.123369823297633e-06,1.987141026032092e-06,-9.151766273995373e-06,-1.0677643986327902e-05,-2.743079882198749e-06,-6.068510849332083e-07,-1.8275532547992318e-06,-9.151766273995373e-06,-1.2508697241126939e-05,-1.357681163975971e-05,-8.99917850276212e-06,-3.020887870418428e-05,419.01953125
-9.609529587695131e-06,-7.015537476729832e-06,-1.5865628208258503e-05,5.496659764396909e-06,3.0867554246630944e-07,3.3604309671313687e-06,-3.658606509598267e-06,-2.196913905758862e-05,1.5293777123323331e-06,3.97078205206438e-06,9.190266273993212e-07,-1.2966460554826697e-05,-1.311904832605995e-05,-4.574133136997785e-06,-2.5904921109654964e-06,-5.947423078097062e-06,-1.830703254799055e-05,-1.7544093691824285e-05,-2.196913905758862e-05,-5.947423078097062e-06,-1.9985498031556333e-05,419.0234375
-9.151766273995373e-06,-7.473300790429591e-06,-1.6323391521958262e-05,5.1914842219304035e-06,3.499999999803549e-09,1.37678994109908e-06,-5.642247535630556e-06,-2.2121726828821874e-05,1.6819654835655861e-06,3.5130187383646215e-06,-4.542633136999553e-07,-1.739150592059103e-05,-1.2661285012360192e-05,-4.726720908231038e-06,-3.3534309671317616e-06,-9.45694181646188e-06,-2.517348225348693e-05,-1.8154444776757297e-05,-2.2121726828821874e-05,-5.794835306863808e-06,2.5790833338419553e-05,419.02734375
-9.762117358928386e-06,-7.931064104129349e-06,-1.6933742606891275e-05,4.886308679463898e-06,1.560877712330565e-07,1.0716143986325743e-06,-6.40518639179682e-06,-2.151137574388886e-05,2.139728797265345e-06,2.9026676534316095e-06,-2.4379043397322436e-06,-1.876479586169031e-05,-1.1593170613727421e-05,-3.963782052064773e-06,-3.3534309671317616e-06,-7.778476332896096e-06,-1.7544093691824285e-05,-1.464492603839248e-05,-1.708633037812453e-05,-6.862949705496579e-06,3.723491618091352e-05,419.03125
-1.1440582842494168e-05,-7.931064104129349e-06,-1.8459620319223804e-05,4.123369823297633e-06,4.612633136995624e-07,1.37678994109908e-06,-6.100010849330315e-06,-2.242690237128838e-05,1.5293777123323331e-06,3.97078205206438e-06,-2.4379043397322436e-06,-1.739150592059103e-05,-1.3271636097293203e-05,-5.489659764397302e-06,-3.658606509598267e-06,-6.862949705496579e-06,-1.2661285012360192e-05,-1.4339750495925974e-05,-1.784926923429079e-05,-5.489659764397302e-06,1.831403254799016e-05,419.03515625
