EEG Fp1-REF,EEG Fp2-REF,EEG F3-REF,EEG F4-REF,EEG C3-REF,EEG C4-REF,EEG P3-REF,EEG P4-REF,EEG O1-REF,EEG O2-REF,EEG F7-REF,EEG F8-REF,EEG T3-REF,EEG T4-REF,EEG T5-REF,EEG T6-REF,EEG Fz-REF,EEG Cz-REF,EEG Pz-REF,ECG EKG-REF,Resp Effort-REF,time
6.107010849329922e-06,-1.0646143986329673e-06,1.6819654835655861e-06,-9.151766273995373e-06,-6.068510849332083e-07,-2.5904921109654964e-06,-2.8956676534320024e-06,-3.81119428083152e-06,-1.3697899410994728e-06,-1.3697899410994728e-06,1.2242021698658271e-06,-4.574133136997785e-06,-2.4379043397322436e-06,-8.388827417829109e-06,1.987141026032092e-06,6.138510849328153e-07,-3.0167554246670236e-07,-2.743079882198749e-06,-3.3534309671317616e-06,-1.9069971404156817e-05,3.3604309671313687e-06,973.0
4.612633136995624e-07,9.190266273993212e-07,7.664388561660683e-07,-1.0982819528794408e-05,-7.594388561664611e-07,-2.8956676534320024e-06,-2.743079882198749e-06,-3.2008431958985084e-06,-3.2008431958985084e-06,-2.132728797265738e-06,2.292316568498598e-06,-4.26895759453128e-06,-1.0646143986329673e-06,-7.778476332896096e-06,3.499999999803549e-09,-1.8275532547992318e-06,-4.542633136999553e-07,-2.5904921109654964e-06,-3.5060187383650144e-06,-1.937514694662332e-05,3.6656065095978743e-06,973.00390625
6.717361934262934e-06,-9.120266273997141e-07,1.987141026032092e-06,-1.0372468443861397e-05,3.499999999803549e-09,-3.658606509598267e-06,-2.4379043397322436e-06,-3.658606509598267e-06,-2.5904921109654964e-06,-3.0482554246652556e-06,3.2078431958981155e-06,-3.963782052064773e-06,1.6819654835655861e-06,-8.236239646595856e-06,-4.879308679464291e-06,-4.421545365764532e-06,-6.068510849332083e-07,-2.4379043397322436e-06,-4.26895759453128e-06,-1.5102689352092238e-05,3.5130187383646215e-06,973.0078125
9.15876627399498e-06,-3.0167554246670236e-07,1.987141026032092e-06,-1.0372468443861397e-05,1.2242021698658271e-06,-3.5060187383650144e-06,-1.674965483565979e-06,-3.2008431958985084e-06,-6.068510849332083e-07,-1.5223777123327258e-06,3.2078431958981155e-06,-4.879308679464291e-06,9.190266273993212e-07,-8.694002960295615e-06,1.6819654835655861e-06,2.292316568498598e-06,-4.542633136999553e-07,-1.8275532547992318e-06,-3.5060187383650144e-06,-2.0138085802789586e-05,3.3604309671313687e-06,973.01171875
8.853590731528475e-06,5.496659764396909e-06,6.138510849328153e-07,-9.45694181646188e-06,-1.3697899410994728e-06,-3.3534309671317616e-06,-2.4379043397322436e-06,-3.2008431958985084e-06,-3.658606509598267e-06,-3.0482554246652556e-06,7.664388561660683e-07,-3.81119428083152e-06,-2.8956676534320024e-06,-7.778476332896096e-06,1.6819654835655861e-06,-6.862949705496579e-06,1.560877712330565e-07,-2.285316568498991e-06,-3.3534309671317616e-06,-2.2884665684988137e-05,3.2078431958981155e-06,973.015625
1.0226880672627751e-05,5.8018353068634155e-06,3.2078431958981155e-06,-8.541415189062362e-06,4.612633136995624e-07,-1.674965483565979e-06,-1.21720216986622e-06,-1.980141026032485e-06,3.499999999803549e-09,-1.0646143986329673e-06,1.834553254798839e-06,-3.658606509598267e-06,1.0716143986325743e-06,-7.6258885616628435e-06,1.834553254798839e-06,1.5293777123323331e-06,-3.0167554246670236e-07,-1.21720216986622e-06,-2.132728797265738e-06,-2.608900888088645e-05,3.5130187383646215e-06,973.01953125
8.853590731528475e-06,-3.2008431958985084e-06,1.834553254798839e-06,-9.762117358928386e-06,3.499999999803549e-09,-3.658606509598267e-06,-1.674965483565979e-06,-3.963782052064773e-06,-1.3697899410994728e-06,-3.0482554246652556e-06,2.9026676534316095e-06,-5.184484221930796e-06,3.0867554246630944e-07,-1.006729290139489e-05,-9.120266273997141e-07,-3.0482554246652556e-06,3.499999999803549e-09,-1.674965483565979e-06,-3.658606509598267e-06,-2.6394184423352957e-05,3.5130187383646215e-06,973.0234375
3.97078205206438e-06,-5.184484221930796e-06,1.2242021698658271e-06,-1.1287995071260915e-05,-9.120266273997141e-07,-4.421545365764532e-06,-2.4379043397322436e-06,-4.726720908231038e-06,-2.743079882198749e-06,-4.26895759453128e-06,9.190266273993212e-07,-4.574133136997785e-06,-1.5223777123327258e-06,-1.052505621509465e-05,1.834553254798839e-06,-5.184484221930796e-06,-4.542633136999553e-07,-2.285316568498991e-06,-4.116369823298026e-06,-2.517348225348693e-05,3.2078431958981155e-06,973.02734375
3.0867554246630944e-07,4.733720908230645e-06,3.2078431958981155e-06,-1.006729290139489e-05,1.37678994109908e-06,-2.743079882198749e-06,-4.542633136999553e-07,-3.0482554246652556e-06,1.560877712330565e-07,-1.674965483565979e-06,1.987141026032092e-06,-2.4379043397322436e-06,5.8018353068634155e-06,-8.236239646595856e-06,3.5130187383646215e-06,4.123369823297633e-06,-4.542633136999553e-07,-1.0646143986329673e-06,-2.132728797265738e-06,-2.3800192312387656e-05,3.5130187383646215e-06,973.03125
1.987141026032092e-06,4.886308679463898e-06,3.5130187383646215e-06,-1.0830231757561157e-05,-1.490877712334494e-07,-3.81119428083152e-06,-2.132728797265738e-06,-4.421545365764532e-06,-2.743079882198749e-06,-3.963782052064773e-06,6.138510849328153e-07,-4.726720908231038e-06,3.97078205206438e-06,-9.45694181646188e-06,-3.963782052064773e-06,-9.304354045228626e-06,3.499999999803549e-09,-2.285316568498991e-06,-3.2008431958985084e-06,-2.761488659321898e-05,3.3604309671313687e-06,973.03515625
3.6656065095978743e-06,2.7500798821983563e-06,1.560877712330565e-07,-1.052505621509465e-05,-7.594388561664611e-07,-3.81119428083152e-06,-2.5904921109654964e-06,-4.26895759453128e-06,-1.980141026032485e-06,-4.116369823298026e-06,4.612633136995624e-07,-4.26895759453128e-06,-6.40518639179682e-06,-1.0677643986327902e-05,9.190266273993212e-07,-4.574133136997785e-06,-1.490877712334494e-07,-3.0482554246652556e-06,-3.81119428083152e-06,-3.295545858638283e-05,3.6656065095978743e-06,973.0390625
1.987141026032092e-06,-2.285316568498991e-06,4.612633136995624e-07,-1.0219880672628144e-05,-1.490877712334494e-07,-4.116369823298026e-06,-2.4379043397322436e-06,-4.574133136997785e-06,-1.674965483565979e-06,-4.26895759453128e-06,-2.4379043397322436e-06,-5.947423078097062e-06,-3.0482554246652556e-06,-1.0830231757561157e-05,4.123369823297633e-06,-3.658606509598267e-06,-3.0167554246670236e-07,-2.5904921109654964e-06,-3.81119428083152e-06,-3.448133629871536e-05,3.5130187383646215e-06,973.04296875
