EEG Fp1-Ref,EEG Fp2-Ref,EEG F7-Ref,EEG F3-Ref,EEG Fz-Ref,EEG F4-Ref,EEG F8-Ref,EEG T3-Ref,EEG C3-Ref,EEG Cz-Ref,EEG C4-Ref,EEG T4-Ref,EEG T5-Ref,EEG P3-Ref,EEG Pz-Ref,EEG P4-Ref,EEG T6-Ref,EEG O1-Ref,EEG O2-Ref,ECG EKG,Resp Effort,time
2.7500798821983563e-06,-1.490877712334494e-07,-6.40518639179682e-06,-2.0443261345256092e-05,-1.3881987182226214e-05,-1.5223777123327258e-06,2.7500798821983563e-06,-3.3534309671317616e-06,-1.8275532547992318e-06,-1.490877712334494e-07,6.107010849329922e-06,5.496659764396909e-06,7.327713019195945e-06,1.633039152195787e-05,3.08262297891169e-05,1.52622771233251e-05,8.548415189061969e-06,2.426495562608702e-05,1.3431223868526063e-05,-8.083651875362602e-06,4.612633136995624e-07,147.0
2.4449043397318507e-06,3.499999999803549e-09,-5.794835306863808e-06,-1.9985498031556333e-05,-1.311904832605995e-05,-1.3697899410994728e-06,3.3604309671313687e-06,-3.2008431958985084e-06,-6.068510849332083e-07,-1.490877712334494e-07,5.954423078096669e-06,5.344071993163657e-06,7.175125247962693e-06,1.694074260689088e-05,3.021587870418389e-05,1.5567452665791605e-05,8.09065187536221e-06,2.3807192312387265e-05,1.3583811639759317e-05,-8.846590731528868e-06,6.138510849328153e-07,147.00390625
4.581133136997392e-06,3.499999999803549e-09,-4.116369823298026e-06,-1.876479586169031e-05,-1.2661285012360192e-05,-1.980141026032485e-06,3.0552554246648627e-06,-3.0482554246652556e-06,-9.120266273997141e-07,3.499999999803549e-09,5.649247535630163e-06,5.344071993163657e-06,7.0225374767294395e-06,1.7245918149357387e-05,2.9758115390484127e-05,1.5109689352091845e-05,7.0225374767294395e-06,2.3349428998687505e-05,1.2973460554826304e-05,-7.015537476729832e-06,7.664388561660683e-07,147.0078125
4.581133136997392e-06,-7.594388561664611e-07,-8.846590731528868e-06,-1.8459620319223804e-05,-1.2356109469893686e-05,-1.5223777123327258e-06,1.6819654835655861e-06,-3.5060187383650144e-06,-7.594388561664611e-07,-3.0167554246670236e-07,4.581133136997392e-06,4.123369823297633e-06,6.259598620563174e-06,1.648297929319112e-05,2.8690000991851358e-05,1.4041574953459075e-05,6.869949705496186e-06,2.3196841227454252e-05,1.221052169866004e-05,-3.658606509598267e-06,6.138510849328153e-07,147.01171875
4.581133136997392e-06,-9.120266273997141e-07,-8.083651875362602e-06,-1.769668146305754e-05,-1.1135407300027661e-05,-1.0646143986329673e-06,1.37678994109908e-06,-4.421545365764532e-06,-1.0646143986329673e-06,-4.542633136999553e-07,3.97078205206438e-06,1.987141026032092e-06,6.107010849329922e-06,1.633039152195787e-05,2.838482544938485e-05,1.327863609729281e-05,4.581133136997392e-06,2.1976139057588226e-05,1.0989819528794015e-05,-3.0167554246670236e-07,4.612633136995624e-07,147.015625
2.4449043397318507e-06,-1.21720216986622e-06,-4.726720908231038e-06,-1.769668146305754e-05,-1.0830231757561157e-05,-2.132728797265738e-06,1.0716143986325743e-06,-4.574133136997785e-06,-7.594388561664611e-07,-7.594388561664611e-07,3.97078205206438e-06,2.4449043397318507e-06,5.496659764396909e-06,1.6177803750724618e-05,2.8690000991851358e-05,1.2515697241126546e-05,3.97078205206438e-06,1.9992498031555938e-05,9.921705130161246e-06,1.834553254798839e-06,1.560877712330565e-07,147.01953125
2.7500798821983563e-06,-1.674965483565979e-06,-2.132728797265738e-06,-1.8154444776757297e-05,-1.0372468443861397e-05,-1.980141026032485e-06,9.190266273993212e-07,-4.879308679464291e-06,-6.068510849332083e-07,3.499999999803549e-09,4.428545365764139e-06,4.612633136995624e-07,4.275957594530887e-06,1.6177803750724618e-05,2.838482544938485e-05,1.2363109469893293e-05,2.9026676534316095e-06,2.0297673574022444e-05,9.15876627399498e-06,2.9026676534316095e-06,3.0867554246630944e-07,147.0234375
2.292316568498598e-06,-1.8275532547992318e-06,-5.642247535630556e-06,-1.8612208090457054e-05,-9.45694181646188e-06,-1.674965483565979e-06,-6.068510849332083e-07,-5.947423078097062e-06,-9.120266273997141e-07,3.0867554246630944e-07,3.5130187383646215e-06,-2.4379043397322436e-06,3.818194280831127e-06,1.52622771233251e-05,2.6858947737052326e-05,1.0684643986327509e-05,1.987141026032092e-06,1.8771795861689916e-05,7.785476332895703e-06,4.275957594530887e-06,4.612633136995624e-07,147.02734375
1.2242021698658271e-06,-1.8275532547992318e-06,-5.489659764397302e-06,-1.8612208090457054e-05,-9.151766273995373e-06,-1.3697899410994728e-06,-1.21720216986622e-06,-6.40518639179682e-06,-1.0646143986329673e-06,3.0867554246630944e-07,3.0552554246648627e-06,9.190266273993212e-07,3.2078431958981155e-06,1.373639941099257e-05,2.5638245567186297e-05,1.0226880672627751e-05,9.190266273993212e-07,1.831403254799016e-05,7.480300790429198e-06,6.717361934262934e-06,3.0867554246630944e-07,147.03125
-3.0167554246670236e-07,-1.8275532547992318e-06,-5.642247535630556e-06,-1.9832910260323083e-05,-8.694002960295615e-06,-1.0646143986329673e-06,3.499999999803549e-09,-7.168125247963085e-06,-1.8275532547992318e-06,3.0867554246630944e-07,2.9026676534316095e-06,9.190266273993212e-07,1.6819654835655861e-06,1.2057933927426786e-05,2.3959780083620518e-05,9.616529587694738e-06,9.190266273993212e-07,1.7093330378124137e-05,6.869949705496186e-06,8.395827417828716e-06,3.0867554246630944e-07,147.03515625
-1.490877712334494e-07,-2.132728797265738e-06,-9.91470513016164e-06,-1.9680322489089826e-05,-8.99917850276212e-06,-1.3697899410994728e-06,1.560877712330565e-07,-7.473300790429591e-06,-3.658606509598267e-06,-1.490877712334494e-07,2.4449043397318507e-06,-4.542633136999553e-07,7.664388561660683e-07,1.0074292901394498e-05,2.2433902371287986e-05,9.15876627399498e-06,4.612633136995624e-07,1.52622771233251e-05,6.4121863917964275e-06,7.785476332895703e-06,1.560877712330565e-07,147.0390625
6.138510849328153e-07,-1.980141026032485e-06,-1.052505621509465e-05,-1.937514694662332e-05,-9.151766273995373e-06,-1.0646143986329673e-06,-1.490877712334494e-07,-7.168125247963085e-06,-3.5060187383650144e-06,-1.490877712334494e-07,2.4449043397318507e-06,1.2242021698658271e-06,-7.594388561664611e-07,8.548415189061969e-06,2.212872682882148e-05,9.311354045228233e-06,6.138510849328153e-07,1.480451380962534e-05,5.954423078096669e-06,5.649247535630163e-06,1.560877712330565e-07,147.04296875
7.664388561660683e-07,-2.285316568498991e-06,-8.694002960295615e-06,-1.9222559175390067e-05,-8.99917850276212e-06,-1.21720216986622e-06,1.560877712330565e-07,-8.083651875362602e-06,-2.743079882198749e-06,-3.0167554246670236e-07,2.5974921109651035e-06,1.560877712330565e-07,-9.120266273997141e-07,8.09065187536221e-06,2.3349428998687505e-05,1.0074292901394498e-05,-1.490877712334494e-07,1.3431223868526063e-05,4.581133136997392e-06,3.818194280831127e-06,3.0867554246630944e-07,147.046875
-3.0167554246670236e-07,-3.2008431958985084e-06,-9.762117358928386e-06,-2.0138085802789586e-05,-1.006729290139489e-05,-1.8275532547992318e-06,-7.594388561664611e-07,-8.694002960295615e-06,-3.3534309671317616e-06,-3.0167554246670236e-07,2.7500798821983563e-06,4.612633136995624e-07,-1.8275532547992318e-06,7.632888561662451e-06,2.365460454115401e-05,1.0226880672627751e-05,-7.594388561664611e-07,1.2057933927426786e-05,3.5130187383646215e-06,1.834553254798839e-06,3.0867554246630944e-07,147.05078125
-4.542633136999553e-07,-3.81119428083152e-06,-8.846590731528868e-06,-2.1053612430189105e-05,-1.1287995071260915e-05,-2.5904921109654964e-06,-1.674965483565979e-06,-8.846590731528868e-06,-4.879308679464291e-06,3.499999999803549e-09,2.139728797265345e-06,3.0867554246630944e-07,-2.8956676534320024e-06,6.4121863917964275e-06,2.3349428998687505e-05,1.0226880672627751e-05,-1.0646143986329673e-06,1.0074292901394498e-05,2.5974921109651035e-06,-1.3697899410994728e-06,-3.0167554246670236e-07,147.0546875
-9.120266273997141e-07,-3.963782052064773e-06,-9.609529587695131e-06,-2.242690237128838e-05,-1.1440582842494168e-05,-3.0482554246652556e-06,-1.674965483565979e-06,-9.45694181646188e-06,-4.726720908231038e-06,1.560877712330565e-07,1.6819654835655861e-06,-1.490877712334494e-07,-3.658606509598267e-06,5.8018353068634155e-06,2.3959780083620518e-05,1.0532056215094257e-05,7.664388561660683e-07,9.769117358927993e-06,3.6656065095978743e-06,-5.642247535630556e-06,-4.542633136999553e-07,147.05859375
